Temperature,Humidity,Month
10.589,0.870,4
9.983,0.890,4
11.022,0.860,4
13.539,0.750,4
13.889,0.680,4
15.000,0.670,4
17.183,0.570,4
16.200,0.620,4
17.750,0.560,4
18.406,0.540,4
17.822,0.590,4
17.311,0.570,4
17.506,0.550,4
17.267,0.540,4
15.139,0.610,4
13.250,0.690,4
12.294,0.720,4
10.700,0.790,4
9.856,0.850,4
9.522,0.880,4
8.406,0.920,4
13.011,0.820,4
7.733,0.960,4
6.139,0.960,4
6.472,0.950,4
6.628,0.960,4
8.689,0.930,4
11.994,0.810,4
13.767,0.780,4
15.089,0.770,4
16.456,0.680,4
17.311,0.620,4
17.872,0.640,4
19.039,0.470,4
18.978,0.510,4
19.006,0.550,4
19.011,0.530,4
17.867,0.640,4
17.267,0.620,4
16.189,0.610,4
14.883,0.720,4
14.328,0.750,4
14.511,0.750,4
14.372,0.750,4
14.878,0.720,4
10.406,0.920,4
12.822,0.830,4
12.800,0.850,4
12.828,0.860,4
12.267,0.850,4
12.267,0.850,4
12.183,0.820,4
12.172,0.800,4
12.711,0.830,4
15.606,0.780,4
16.022,0.780,4
17.200,0.670,4
17.217,0.710,4
17.828,0.690,4
17.828,0.690,4
17.733,0.690,4
16.272,0.710,4
13.167,0.930,4
13.256,0.930,4
13.011,0.930,4
12.456,0.910,4
12.489,0.900,4
9.556,0.800,4
10.622,0.790,4
8.722,0.930,4
10.533,0.770,4
9.444,0.830,4
9.889,0.830,4
10.367,0.780,4
8.889,0.890,4
9.978,0.840,4
12.200,0.730,4
13.961,0.670,4
14.944,0.670,4
16.183,0.710,4
16.367,0.610,4
17.372,0.570,4
17.672,0.510,4
17.722,0.530,4
16.239,0.610,4
14.067,0.710,4
13.956,0.760,4
12.289,0.800,4
10.022,0.860,4
9.378,0.860,4
9.417,0.900,4
11.828,0.920,4
10.761,0.910,4
12.156,0.950,4
9.672,0.940,4
8.150,0.940,4
10.200,0.950,4
10.117,0.990,4
10.161,0.990,4
11.244,0.980,4
12.244,0.990,4
13.911,0.920,4
15.617,0.820,4
15.072,0.860,4
15.072,0.820,4
14.267,0.870,4
16.017,0.810,4
15.028,0.860,4
13.944,0.890,4
12.917,0.950,4
12.894,0.950,4
12.400,0.980,4
12.267,0.990,4
12.222,0.960,4
11.250,0.960,4
11.528,0.960,4
11.539,0.960,4
9.439,0.960,4
11.439,0.960,4
11.394,0.960,4
11.528,0.960,4
11.950,0.930,4
11.972,1.000,4
12.633,0.960,4
12.756,0.960,4
13.844,0.900,4
13.172,0.940,4
15.067,0.860,4
17.244,0.750,4
16.317,0.760,4
17.383,0.740,4
15.272,0.760,4
17.456,0.720,4
16.222,0.770,4
15.083,0.820,4
13.994,0.880,4
12.172,0.920,4
11.089,0.950,4
11.094,0.950,4
9.883,0.960,4
9.356,0.960,4
9.861,0.960,4
8.272,0.990,4
8.867,0.960,4
8.817,0.960,4
7.156,1.000,4
8.850,0.990,4
11.178,0.930,4
12.389,0.980,4
14.144,0.880,4
17.100,0.720,4
18.939,0.640,4
17.917,0.680,4
19.983,0.530,4
20.072,0.620,4
20.072,0.560,4
20.083,0.580,4
19.089,0.630,4
17.450,0.620,4
15.567,0.740,4
12.494,0.910,4
12.244,0.890,4
11.417,0.920,4
10.556,0.950,4
10.467,0.930,4
10.250,0.950,4
9.356,0.960,4
8.311,0.960,4
8.811,0.960,4
8.733,0.930,4
11.933,0.930,4
14.517,0.840,4
18.733,0.680,4
20.028,0.600,4
21.039,0.550,4
20.739,0.460,4
22.317,0.480,4
22.111,0.500,4
22.733,0.380,4
22.778,0.370,4
21.217,0.410,4
20.183,0.450,4
18.011,0.680,4
17.422,0.650,4
13.961,0.820,4
13.289,0.890,4
12.322,0.890,4
11.117,0.950,4
10.533,0.950,4
12.383,0.800,4
9.861,0.960,4
8.872,0.950,4
8.672,0.940,4
7.689,1.000,4
10.911,0.990,4
14.839,0.820,4
18.800,0.650,4
21.094,0.490,4
22.028,0.490,4
22.828,0.470,4
22.917,0.370,4
23.917,0.370,4
23.911,0.400,4
23.933,0.370,4
23.917,0.320,4
22.822,0.440,4
21.228,0.480,4
19.078,0.510,4
17.061,0.630,4
14.906,0.720,4
13.083,0.870,4
12.711,0.890,4
12.128,0.890,4
11.811,0.840,4
12.017,0.800,4
12.044,0.800,4
10.628,0.860,4
9.911,0.990,4
12.556,0.900,4
15.006,0.780,4
17.339,0.740,4
19.100,0.670,4
21.261,0.570,4
22.411,0.540,4
22.939,0.500,4
23.928,0.470,4
23.961,0.470,4
23.961,0.380,4
23.111,0.420,4
22.822,0.440,4
21.111,0.470,4
18.189,0.580,4
16.017,0.720,4
15.467,0.720,4
14.606,0.760,4
13.311,0.820,4
12.733,0.830,4
13.789,0.770,4
10.578,0.880,4
10.483,0.920,4
10.289,0.910,4
9.972,0.920,4
13.639,0.900,4
16.739,0.740,4
18.839,0.650,4
21.161,0.590,4
22.589,0.530,4
22.894,0.480,4
24.006,0.470,4
24.006,0.350,4
23.978,0.440,4
25.044,0.320,4
24.078,0.350,4
22.383,0.450,4
21.206,0.520,4
18.261,0.620,4
17.200,0.670,4
15.994,0.750,4
15.961,0.790,4
15.444,0.720,4
14.372,0.750,4
13.606,0.900,4
12.822,0.820,4
12.750,0.830,4
11.417,0.920,4
12.333,0.860,4
14.906,0.780,4
15.894,0.740,4
17.228,0.720,4
17.828,0.730,4
17.917,0.720,4
19.056,0.670,4
20.144,0.670,4
20.261,0.620,4
21.206,0.620,4
21.256,0.670,4
20.233,0.660,4
19.078,0.710,4
17.944,0.770,4
15.494,0.820,4
14.144,0.890,4
14.539,0.860,4
14.139,0.860,4
13.400,0.900,4
13.428,0.900,4
11.589,0.740,4
14.422,0.830,4
13.917,0.860,4
13.400,0.900,4
13.867,0.900,4
14.906,0.840,4
15.933,0.740,4
17.128,0.650,4
18.750,0.580,4
18.961,0.600,4
19.994,0.540,4
21.111,0.500,4
21.094,0.460,4
21.178,0.430,4
21.228,0.410,4
20.100,0.450,4
19.028,0.510,4
17.850,0.590,4
16.261,0.660,4
14.983,0.720,4
14.467,0.650,4
13.944,0.600,4
12.317,0.650,4
11.761,0.660,4
10.828,0.620,4
10.139,0.730,4
10.628,0.710,4
10.606,0.690,4
10.072,0.710,4
11.161,0.710,4
12.889,0.670,4
15.050,0.600,4
15.161,0.590,4
16.272,0.560,4
17.800,0.460,4
17.939,0.460,4
18.856,0.410,4
17.989,0.430,4
17.961,0.510,4
17.361,0.470,4
16.250,0.520,4
14.122,0.470,4
12.950,0.550,4
12.244,0.520,4
11.689,0.570,4
11.156,0.590,4
9.217,0.900,4
8.683,0.900,4
9.189,0.770,4
8.594,0.930,4
7.506,0.930,4
6.217,0.950,4
5.856,0.930,4
5.933,1.000,4
10.406,1.000,4
12.544,0.780,4
13.861,0.770,4
15.978,0.630,4
17.267,0.570,4
17.844,0.500,4
16.428,0.540,4
17.778,0.460,4
17.844,0.450,4
17.300,0.500,4
15.183,0.650,4
13.006,0.700,4
12.694,0.740,4
12.194,0.720,4
12.083,0.710,4
10.617,0.740,4
11.600,0.570,4
11.022,0.600,4
11.889,0.600,4
10.417,0.640,4
10.300,0.670,4
9.483,0.720,4
9.772,0.680,4
10.933,0.670,4
11.656,0.660,4
13.939,0.550,4
15.028,0.540,4
16.039,0.470,4
15.228,0.510,4
16.206,0.440,4
17.300,0.430,4
17.778,0.430,4
17.800,0.380,4
17.261,0.390,4
17.200,0.380,4
15.022,0.450,4
13.928,0.470,4
12.367,0.570,4
12.294,0.590,4
12.789,0.560,4
9.533,0.760,4
9.972,0.710,4
4.911,0.910,4
7.917,0.780,4
7.383,0.820,4
7.972,0.820,4
8.817,0.840,4
8.794,0.840,4
7.889,0.890,4
7.800,0.960,4
7.822,0.950,4
7.944,0.950,4
8.078,0.940,4
10.228,0.810,4
11.361,0.740,4
12.450,0.700,4
12.917,0.670,4
12.550,0.620,4
12.383,0.690,4
10.228,0.750,4
9.228,0.780,4
7.828,0.870,4
6.678,0.910,4
6.122,0.910,4
5.328,0.950,4
4.356,0.950,4
9.272,0.890,4
4.261,0.920,4
3.217,0.920,4
3.906,0.920,4
2.711,0.960,4
3.817,1.000,4
6.883,0.930,4
8.939,0.880,4
11.206,0.790,4
12.850,0.700,4
13.961,0.630,4
14.978,0.510,4
14.028,0.570,4
15.022,0.510,4
15.044,0.540,4
15.089,0.500,4
14.950,0.510,4
13.817,0.590,4
12.917,0.640,4
13.839,0.590,4
12.756,0.690,4
12.650,0.740,4
11.689,0.800,4
10.628,0.880,4
5.667,0.910,4
10.050,0.920,4
9.978,0.930,4
9.778,0.950,4
8.661,0.990,4
7.550,0.950,4
7.233,0.930,4
6.044,0.920,4
6.094,0.850,4
6.117,0.820,4
6.067,0.860,4
6.039,0.930,4
6.889,0.930,4
7.061,0.860,4
6.039,0.930,4
6.072,0.930,4
5.044,0.930,4
5.022,0.920,4
5.033,0.930,4
5.000,0.930,4
4.978,0.930,4
4.933,0.870,4
4.467,0.920,4
4.444,0.920,4
4.011,0.830,4
4.906,0.860,4
4.883,0.830,4
4.389,0.890,4
4.839,0.860,4
4.811,0.830,4
4.944,0.840,4
7.200,0.650,4
7.778,0.670,4
8.728,0.640,4
8.983,0.570,4
10.000,0.500,4
10.094,0.550,4
11.061,0.460,4
10.139,0.420,4
11.011,0.420,4
10.117,0.490,4
7.917,0.570,4
7.333,0.630,4
5.050,0.750,4
3.933,0.760,4
4.094,0.770,4
3.800,0.820,4
2.689,0.850,4
5.067,0.810,4
2.600,0.850,4
1.583,0.920,4
2.156,0.900,4
0.956,0.920,4
0.956,0.920,4
5.594,0.820,4
9.822,0.660,4
11.072,0.540,4
11.056,0.480,4
12.244,0.430,4
12.850,0.410,4
12.889,0.380,4
12.917,0.400,4
13.889,0.460,4
13.022,0.480,4
12.383,0.490,4
10.206,0.570,4
9.144,0.620,4
7.828,0.680,4
7.733,0.650,4
7.144,0.690,4
6.017,0.740,4
5.461,0.760,4
8.244,0.720,4
3.839,0.820,4
2.244,0.910,4
2.022,0.930,4
2.172,0.920,4
3.661,0.890,4
6.111,0.790,4
10.006,0.660,4
12.244,0.520,4
12.939,0.500,4
13.983,0.500,4
15.094,0.440,4
16.250,0.430,4
17.267,0.410,4
17.289,0.380,4
17.389,0.370,4
17.289,0.380,4
15.089,0.440,4
11.711,0.580,4
11.161,0.610,4
10.028,0.680,4
10.139,0.650,4
21.017,0.870,7
19.444,0.900,7
20.722,0.810,8
18.794,0.930,8
17.733,0.930,8
17.606,0.950,8
18.733,0.930,8
22.556,0.800,8
24.761,0.700,8
27.172,0.560,8
28.911,0.550,8
30.956,0.420,8
32.172,0.380,8
32.128,0.320,8
31.983,0.350,8
32.539,0.380,8
31.978,0.400,8
32.011,0.410,8
30.944,0.390,8
28.572,0.500,8
27.094,0.590,8
24.694,0.650,8
24.139,0.700,8
23.122,0.770,8
15.561,0.920,8
15.494,0.870,8
16.539,0.910,8
13.800,0.900,8
13.317,0.900,8
12.606,0.920,8
12.328,0.930,8
14.967,0.870,8
16.261,0.870,8
16.250,0.920,8
18.889,0.890,8
21.350,0.760,8
21.206,0.760,8
22.339,0.720,8
23.033,0.660,8
23.911,0.620,8
24.978,0.510,8
23.800,0.580,8
23.594,0.530,8
22.506,0.680,8
20.017,0.780,8
19.911,0.740,8
19.356,0.760,8
17.883,0.850,8
17.250,0.890,8
16.628,0.920,8
15.844,0.840,8
17.000,0.920,8
17.067,0.860,8
16.506,0.790,8
14.983,0.830,8
16.022,0.810,8
16.161,0.810,8
18.844,0.680,8
21.117,0.680,8
22.506,0.620,8
23.794,0.540,8
23.889,0.510,8
25.833,0.440,8
25.928,0.430,8
25.000,0.420,8
24.944,0.430,8
24.928,0.450,8
22.800,0.510,8
19.339,0.700,8
17.806,0.780,8
17.783,0.750,8
16.489,0.790,8
15.694,0.830,8
15.628,0.810,8
16.211,0.930,8
15.578,0.840,8
15.578,0.810,8
15.606,0.810,8
15.050,0.830,8
17.067,0.730,8
17.483,0.720,8
17.667,0.710,8
18.800,0.690,8
19.683,0.670,8
18.822,0.780,8
20.000,0.770,8
21.150,0.720,8
23.656,0.670,8
23.617,0.600,8
23.817,0.620,8
22.039,0.700,8
19.950,0.700,8
18.922,0.800,8
17.267,0.880,8
16.178,0.900,8
15.833,0.930,8
16.733,0.930,8
16.711,0.970,8
16.267,0.970,8
16.139,0.970,8
16.089,0.970,8
15.556,0.960,8
14.517,1.000,8
17.089,0.990,8
17.667,0.960,8
19.794,0.850,8
22.017,0.740,8
21.139,0.730,8
21.044,0.730,8
18.939,0.890,8
18.917,0.900,8
20.050,0.780,8
21.067,0.730,8
20.050,0.780,8
20.000,0.830,8
18.867,0.900,8
17.956,0.960,8
17.711,0.970,8
17.733,0.930,8
16.794,0.970,8
16.667,0.970,8
16.161,0.970,8
17.011,0.910,8
16.117,0.970,8
16.117,0.970,8
15.556,0.960,8
14.006,1.000,8
16.117,0.930,8
16.050,0.930,8
16.211,0.990,8
17.806,0.890,8
18.883,0.840,8
20.189,0.770,8
22.267,0.670,8
22.356,0.700,8
23.867,0.540,8
23.889,0.580,8
22.956,0.560,8
22.478,0.580,8
20.856,0.700,8
19.161,0.820,8
17.733,0.840,8
18.239,0.810,8
17.817,0.880,8
17.711,0.840,8
17.200,0.900,8
15.306,0.900,8
16.550,0.930,8
16.094,0.960,8
15.550,0.930,8
14.933,0.930,8
17.089,0.930,8
18.656,0.850,8
19.811,0.790,8
21.061,0.730,8
22.206,0.630,8
22.750,0.570,8
23.794,0.540,8
23.483,0.510,8
23.961,0.530,8
24.950,0.500,8
23.956,0.530,8
23.956,0.500,8
23.861,0.540,8
19.267,0.750,8
17.289,0.870,8
16.622,0.930,8
16.672,0.870,8
15.072,0.930,8
14.517,0.930,8
17.844,0.800,8
14.444,0.930,8
13.889,0.960,8
14.433,0.900,8
14.928,0.870,8
17.044,0.820,8
18.789,0.780,8
21.161,0.730,8
23.867,0.620,8
24.967,0.560,8
26.133,0.470,8
27.222,0.440,8
27.739,0.390,8
27.778,0.400,8
27.800,0.390,8
27.872,0.370,8
26.156,0.430,8
23.978,0.540,8
22.572,0.580,8
21.139,0.600,8
20.439,0.670,8
20.428,0.700,8
19.356,0.740,8
18.750,0.760,8
19.878,0.850,8
17.222,0.840,8
16.644,0.870,8
16.550,0.880,8
16.094,0.870,8
17.667,0.840,8
20.783,0.700,8
22.733,0.670,8
26.017,0.550,8
26.128,0.580,8
28.839,0.510,8
29.006,0.510,8
31.033,0.450,8
31.133,0.360,8
31.133,0.410,8
31.211,0.410,8
30.022,0.480,8
27.872,0.580,8
25.406,0.660,8
22.756,0.790,8
22.689,0.790,8
21.200,0.840,8
21.550,0.810,8
21.439,0.820,8
19.506,0.920,8
19.861,0.880,8
19.333,0.870,8
18.750,0.910,8
18.844,0.900,8
19.911,0.870,8
22.106,0.810,8
24.950,0.690,8
25.000,0.740,8
27.300,0.670,8
27.967,0.620,8
30.117,0.500,8
31.044,0.450,8
31.206,0.470,8
32.172,0.420,8
32.544,0.400,8
31.039,0.440,8
28.956,0.540,8
26.478,0.640,8
22.917,0.730,8
23.383,0.730,8
22.450,0.830,8
22.600,0.770,8
19.983,0.900,8
20.956,0.870,8
18.872,0.900,8
18.339,0.930,8
18.850,0.930,8
17.278,0.990,8
19.917,0.870,8
23.600,0.740,8
25.994,0.610,8
27.733,0.550,8
28.794,0.500,8
29.883,0.470,8
30.972,0.450,8
31.917,0.410,8
32.128,0.420,8
32.128,0.390,8
31.083,0.440,8
31.017,0.440,8
27.267,0.640,8
25.456,0.680,8
22.800,0.840,8
23.217,0.790,8
22.239,0.850,8
20.417,0.840,8
19.883,0.850,8
16.811,0.920,8
19.378,0.900,8
18.867,0.930,8
18.883,0.930,8
17.872,0.970,8
18.939,0.990,8
20.089,0.920,8
21.089,0.870,8
22.178,0.810,8
23.533,0.710,8
23.844,0.690,8
24.956,0.620,8
25.922,0.580,8
24.961,0.620,8
24.794,0.580,8
23.756,0.620,8
22.128,0.680,8
21.061,0.680,8
21.067,0.680,8
18.867,0.840,8
18.267,0.840,8
17.878,0.860,8
21.089,0.900,8
21.550,0.870,8
18.783,0.850,8
19.978,0.930,8
20.994,0.880,8
19.989,0.880,8
18.867,0.970,8
22.089,0.820,8
23.772,0.750,8
27.178,0.600,8
28.794,0.550,8
30.861,0.550,8
32.039,0.460,8
32.589,0.500,8
32.639,0.440,8
32.150,0.430,8
31.083,0.450,8
32.078,0.420,8
30.972,0.450,8
28.861,0.550,8
26.411,0.650,8
23.817,0.750,8
23.311,0.790,8
24.539,0.720,8
21.967,0.720,8
19.883,0.790,8
14.989,0.860,8
17.778,0.900,8
17.222,0.890,8
16.767,0.870,8
17.178,0.810,8
17.711,0.780,8
17.761,0.830,8
19.906,0.730,8
21.117,0.680,8
21.194,0.680,8
22.250,0.640,8
21.256,0.720,8
22.644,0.630,8
22.806,0.620,8
22.828,0.700,8
22.633,0.660,8
20.189,0.820,8
20.183,0.770,8
19.072,0.880,8
17.872,0.950,8
17.250,0.920,8
16.328,0.890,8
15.056,0.870,8
14.989,0.830,8
13.206,0.950,8
13.367,0.900,8
14.317,0.840,8
14.339,0.840,8
12.744,0.900,8
14.850,0.830,8
17.472,0.750,8
19.978,0.640,8
22.178,0.590,8
22.700,0.530,8
23.911,0.480,8
24.950,0.420,8
25.011,0.390,8
25.017,0.420,8
24.928,0.420,8
23.994,0.440,8
23.811,0.450,8
21.161,0.590,8
19.850,0.650,8
17.200,0.860,8
16.689,0.890,8
16.278,0.910,8
15.028,0.920,8
13.961,0.950,8
13.244,0.900,8
13.317,0.930,8
12.300,0.950,8
12.550,0.950,8
12.206,0.930,8
13.806,0.930,8
16.156,0.810,8
17.783,0.780,8
19.933,0.680,8
21.083,0.620,8
20.028,0.610,8
20.078,0.680,8
20.978,0.630,8
22.339,0.630,8
23.733,0.540,8
22.661,0.540,8
22.778,0.570,8
21.139,0.630,8
18.033,0.730,8
16.211,0.810,8
16.094,0.840,8
15.572,0.870,8
13.900,0.920,8
13.856,0.900,8
15.189,0.810,8
11.678,0.960,8
11.094,0.960,8
10.789,0.960,8
11.000,0.930,8
12.600,0.990,8
17.522,0.800,8
19.989,0.680,8
22.250,0.590,8
22.944,0.520,8
24.956,0.470,8
25.050,0.450,8
25.983,0.410,8
26.133,0.430,8
25.067,0.420,8
25.211,0.380,8
25.044,0.420,8
22.333,0.530,8
20.311,0.600,8
17.756,0.700,8
18.172,0.690,8
17.261,0.720,8
17.061,0.710,8
16.622,0.710,8
14.761,0.910,8
15.067,0.800,8
16.161,0.810,8
15.117,0.900,8
15.022,0.870,8
17.106,0.760,8
17.294,0.760,8
20.900,0.730,8
22.650,0.620,8
22.589,0.630,8
22.039,0.650,8
22.222,0.640,8
22.333,0.650,8
22.828,0.660,8
23.817,0.590,8
22.861,0.620,8
22.700,0.660,8
22.017,0.650,8
19.922,0.740,8
17.711,0.840,8
17.222,0.810,8
17.256,0.840,8
16.067,0.870,8
16.022,0.900,8
15.094,0.820,8
13.794,0.960,8
13.356,0.960,8
13.917,0.950,8
13.839,0.930,8
13.889,1.000,8
15.200,0.930,8
17.750,0.840,8
21.039,0.640,8
22.200,0.590,8
22.778,0.510,8
23.889,0.480,8
24.811,0.450,8
24.928,0.450,8
24.928,0.420,8
24.872,0.420,8
23.839,0.450,8
22.172,0.550,8
18.461,0.690,8
16.133,0.810,8
15.556,0.840,8
15.600,0.810,8
14.072,0.850,8
14.461,0.830,8
16.722,0.830,8
15.489,0.790,8
13.889,0.900,8
12.672,0.900,8
13.839,0.900,8
15.050,0.870,8
17.711,0.790,8
21.000,0.630,8
22.667,0.570,8
23.667,0.510,8
24.933,0.450,8
24.861,0.460,8
24.839,0.420,8
25.000,0.450,8
26.111,0.390,8
25.911,0.400,8
23.889,0.480,8
21.111,0.590,8
18.244,0.720,8
17.244,0.750,8
16.178,0.810,8
17.794,0.740,8
16.667,0.780,8
16.189,0.810,8
13.350,0.950,8
15.556,0.930,8
15.000,0.930,8
14.517,0.960,8
15.000,0.930,8
15.000,0.930,8
15.000,0.940,8
15.117,0.930,8
15.117,0.930,8
16.244,0.920,8
17.872,0.840,8
19.050,0.730,8
20.917,0.670,8
21.061,0.630,8
21.111,0.630,8
21.211,0.610,8
20.072,0.670,8
17.894,0.770,8
17.489,0.790,8
16.161,0.860,8
16.161,0.810,8
15.167,0.870,8
13.872,0.930,8
12.756,0.960,8
12.000,0.950,8
12.750,1.000,8
13.356,0.960,8
13.583,0.950,8
13.911,0.930,8
14.950,0.930,8
14.922,0.930,8
14.906,0.930,8
13.911,0.930,8
14.972,0.870,8
16.161,0.800,8
17.828,0.650,8
18.772,0.530,8
19.900,0.490,8
19.950,0.450,8
19.106,0.460,8
18.933,0.430,8
16.228,0.580,8
14.306,0.730,8
12.850,0.890,8
12.756,0.920,8
12.383,0.920,8
17.139,0.870,8
16.622,0.900,8
19.361,0.900,8
16.017,0.900,8
16.039,0.900,8
16.122,0.930,8
17.061,0.880,8
17.200,0.870,8
17.783,0.900,8
17.850,0.960,8
17.872,0.960,8
18.089,0.940,8
19.083,0.890,8
22.256,0.680,8
22.683,0.670,8
24.789,0.590,8
24.878,0.640,8
24.883,0.640,8
24.833,0.650,8
23.611,0.700,8
22.128,0.820,8
19.928,0.870,8
19.883,0.900,8
19.922,0.930,8
11.644,0.950,8
11.083,0.930,8
11.322,0.890,8
12.172,0.990,8
12.172,0.990,8
12.694,0.920,8
12.200,0.990,8
12.222,0.920,8
12.306,0.930,8
12.250,0.930,8
12.300,0.920,8
12.739,0.900,8
12.828,0.900,8
12.872,0.890,8
13.767,0.900,8
13.939,0.890,8
13.989,0.890,8
14.911,0.840,8
15.072,0.820,8
13.939,0.890,8
13.089,0.890,8
12.850,0.830,8
12.300,0.800,8
12.711,0.850,8
12.222,0.860,8
11.667,0.860,8
13.461,0.780,8
11.117,0.860,8
12.778,0.770,8
11.111,0.850,8
11.161,0.860,8
12.711,0.770,8
12.789,0.780,8
13.889,0.770,8
15.944,0.680,8
15.283,0.750,8
15.017,0.830,8
14.994,0.830,8
14.094,0.880,8
15.139,0.820,8
16.161,0.770,8
17.061,0.730,8
17.222,0.720,8
16.111,0.720,8
15.000,0.780,8
15.000,0.780,8
14.978,0.780,8
14.333,0.780,8
19.400,0.970,8
19.422,0.930,8
15.828,0.950,8
19.283,0.910,8
18.794,0.940,8
17.822,0.970,8
17.756,1.000,8
18.772,0.930,8
18.767,0.930,8
17.711,1.000,8
17.711,0.970,8
18.789,0.900,8
19.794,0.870,8
19.933,0.870,8
20.894,0.820,8
19.933,0.860,8
18.917,0.920,8
19.022,0.920,8
18.961,0.890,8
18.889,0.890,8
18.811,0.900,8
17.156,0.930,8
17.594,0.930,8
16.628,0.940,8
16.461,0.970,8
15.444,0.960,8
13.650,0.930,8
14.361,0.960,8
13.828,0.960,8
13.439,0.960,8
13.828,0.990,8
14.911,0.930,8
15.056,0.930,8
16.139,0.870,8
16.228,0.870,8
17.256,0.870,8
17.411,0.860,8
17.939,0.830,8
19.083,0.770,8
20.161,0.720,8
22.267,0.590,8
22.500,0.550,8
21.228,0.620,8
21.106,0.670,8
19.056,0.730,8
17.250,0.810,8
16.161,0.860,8
15.328,0.890,8
13.989,0.920,8
13.939,0.930,8
15.406,0.950,8
12.739,0.930,8
12.739,0.930,8
12.422,0.960,8
12.178,1.000,8
13.917,0.930,8
17.556,0.800,8
19.906,0.690,8
21.017,0.640,8
22.039,0.640,8
22.106,0.560,8
23.744,0.550,8
24.594,0.540,8
22.650,0.540,8
23.750,0.510,8
23.772,0.500,8
22.244,0.590,8
22.106,0.640,8
19.194,0.760,8
17.244,0.870,8
16.711,0.900,8
16.761,0.900,8
15.144,0.950,8
15.672,0.930,8
16.189,0.960,8
16.067,0.900,8
16.067,0.930,8
